name,population,latitude,longitude,state,country,status
Frohnleiten,3110,47.2691684,15.3222815,Steiermark,Austria,
Kaprun,3108,47.2728876,12.759674,Salzburg,Austria,
Herzogenburg,3106,48.2869872,15.6921489,Niederösterreich,Austria,
Fließ,3105,47.1204938,10.6279704,Tirol,Austria,
Münchendorf,3103,48.0296441,16.3793614,Niederösterreich,Austria,
Kapfenberg,3103,47.4433293,15.2791914,Steiermark,Austria,
Oberperfuss,3096,47.2458226,11.2478357,Tirol,Austria,
Lenzing,3095,47.9749274,13.6096686,Oberösterreich,Austria,
Eggenburg,3076,48.6400815,15.820752,Niederösterreich,Austria,
Elixhausen,3076,47.8688574,13.0660141,Salzburg,Austria,
Laab,3069,48.2610257,13.0547253,Oberösterreich,Austria,
Klaus,3065,47.2497427,9.9797373,Vorarlberg,Austria,
Kapellerfeld,3060,48.302824,16.4829225,Niederösterreich,Austria,
Mitterndorf an der Fischa,3059,47.9974655,16.474808,Niederösterreich,Austria,
Doppl,3056,48.2484242,14.2523804,Oberösterreich,Austria,
Katzelsdorf,3054,47.779234,16.2694302,Niederösterreich,Austria,
Bergheim,3030,47.8464521,13.0356505,Salzburg,Austria,
St. Georgen im Attergau,3026,47.9352737,13.480546,Oberösterreich,Austria,
Sankt Dionysen,3025,48.2284796,14.2509542,Oberösterreich,Austria,
Wienersdorf,3019,48.0078985,16.2887216,Niederösterreich,Austria,
Priel,3017,46.8242969,14.8438957,Kärnten,Austria,
Rannersdorf,3007,48.1247526,16.4620863,Niederösterreich,Austria,
Oberndorf an der Melk,3000,48.0597502,15.2125095,Niederösterreich,Austria,
Steinbrunn,2992,47.8356939,16.4121476,Burgenland,Austria,
Leobendorf,2992,48.3755589,16.3257475,Niederösterreich,Austria,
Rechnitz,2987,47.3047435,16.4406798,Burgenland,Austria,
Pöttsching,2985,47.8048993,16.3721395,Burgenland,Austria,
Seewalchen am Attersee,2983,47.9516051,13.5841901,Oberösterreich,Austria,
Oedt,2980,48.21218,14.20311,Oberösterreich,Austria,
Laxenburg,2969,48.0688772,16.3554987,Niederösterreich,Austria,
Puchheim,2958,48.0029141,13.715845,Oberösterreich,Austria,
Haselbach,2940,48.25573,13.04432,Oberösterreich,Austria,
Brandln,2934,48.16542,14.03664,Oberösterreich,Austria,
Purbach am Neusiedler See,2925,47.9154792,16.6948932,Burgenland,Austria,
Bad Häring,2911,47.5108796,12.1185067,Tirol,Austria,
Bruck an der Großglocknerstraße,2907,47.2766561,12.8262046,Salzburg,Austria,
Traismauer,2898,48.3518681,15.7418888,Niederösterreich,Austria,
Kematen in Tirol,2896,47.2549263,11.2737976,Tirol,Austria,
Ellmau,2885,47.5147844,12.3022577,Tirol,Austria,
Frauenkirchen,2875,47.8357583,16.9261022,Burgenland,Austria,
Pörtschach am Wörther See,2869,46.6365485,14.1394434,Kärnten,Austria,
Ramsau am Dachstein,2861,47.42126,13.65439,Steiermark,Austria,
Kirchdorf in Tirol,2861,47.5573206,12.4474459,Tirol,Austria,
Reding,2860,46.8254967,14.8448747,Kärnten,Austria,
Waldhausen im Strudengau,2851,48.2728908,14.9517276,Oberösterreich,Austria,
Bad Hofgastein,2846,47.1057283,13.1317244,Salzburg,Austria,
Andorf,2838,48.3710358,13.5738477,Oberösterreich,Austria,
Niederndorf,2836,47.6492717,12.2194539,Tirol,Austria,
Mautern an der Donau,2815,48.3938913,15.576756,Niederösterreich,Austria,
Aldrans,2814,47.2513094,11.4459871,Tirol,Austria,
Zistersdorf,2812,48.5428483,16.7606452,Niederösterreich,Austria,
Deutschkreutz,2805,47.6016309,16.6234422,Burgenland,Austria,
Forchtenstein,2802,47.7114816,16.3429446,Burgenland,Austria,
Laßnitzhöhe,2795,47.0710366,15.5904417,Steiermark,Austria,
Feldkirchen in Kärnten,2785,46.7267407,14.0888806,Kärnten,Austria,
Straßengel,2785,47.1294344,15.320174,Steiermark,Austria,
Tarrenz,2785,47.2630788,10.7622569,Tirol,Austria,
Steinach am Brenner,2782,47.0888716,11.4714428,Tirol,Austria,
Lichtenwörth,2775,47.8315838,16.2979368,Niederösterreich,Austria,
Gössendorf,2767,46.9980693,15.4857946,Steiermark,Austria,
Wiesen,2758,47.7377921,16.339096,Burgenland,Austria,
Hohenau an der March,2755,48.6058694,16.9044585,Niederösterreich,Austria,
Fohnsdorf,2745,47.207607,14.6759896,Steiermark,Austria,
Vandans,2744,47.0953218,9.8614173,Vorarlberg,Austria,
Bruckneudorf,2743,48.0179559,16.7792004,Burgenland,Austria,
Gralla,2732,46.8148074,15.5548,Steiermark,Austria,
Böheimkirchen,2718,48.1977568,15.7630978,Niederösterreich,Austria,
Satteins,2717,47.2261702,9.6717713,Vorarlberg,Austria,
Fügen,2716,47.352398,11.8535505,Tirol,Austria,
Dürnau,2709,47.9976019,13.6359181,Oberösterreich,Austria,
Stegersbach,2701,47.1601647,16.1665199,Burgenland,Austria,
Euratsfeld,2701,48.0820274,14.9318097,Niederösterreich,Austria,
Zell,2697,47.5837561,12.1604375,Tirol,Austria,
Sankt Margarethen im Burgenland,2691,47.8048606,16.608244,Burgenland,Austria,
Kematen,2691,48.0260171,14.7655166,Niederösterreich,Austria,
Wöllersdorf,2687,47.864811,16.170868,Niederösterreich,Austria,
Weigelsdorf,2685,47.9429103,16.4084843,Niederösterreich,Austria,
Bad Erlach,2676,47.7252223,16.2139813,Niederösterreich,Austria,
Großpetersdorf,2675,47.2388886,16.3179334,Burgenland,Austria,
Puchenau,2669,48.3116571,14.2354258,Oberösterreich,Austria,
Puchberg am Schneeberg,2662,47.786557,15.9083509,Niederösterreich,Austria,
Andelsbuch,2654,47.4131311,9.8949703,Vorarlberg,Austria,
Purgstall,2651,48.0575699,15.140182,Niederösterreich,Austria,
Pasching,2651,48.2591244,14.2045561,Oberösterreich,Austria,
Poysdorf,2646,48.6678019,16.6281839,Niederösterreich,Austria,
Güssing,2645,47.05932,16.32449,Burgenland,Austria,
Leitendorf,2644,47.3694032,15.0897159,Steiermark,Austria,
Brixen im Thale,2638,47.4497732,12.2513095,Tirol,Austria,
